Transaction_ID,Description,Amount,Category,Payment_Method,City,datetime,clean_desc,llm_category,anomaly,anomaly_label
TXN_00014,SPOTIFY SUB,240.58,Subscriptions,Net Banking,Chennai,16-11-2024 19:36,spotify sub,Subscriptions,FALSE,Normal
TXN_00015,INVESTMENT APP,1729.01,Financial,Unknown,Mumbai,13-08-2024 23:12,investment app,Financial,FALSE,Normal
TXN_00016,DOMINOS PZ,220.97,Food & Beverage,UPI,Lucknow,16-07-2024 09:18,dominos pz,Food & Beverage,FALSE,Normal
TXN_00017,ELECTRICITY BOARD,1744.1,Utilities,Wallet,Bangalore,13-11-2024 20:21,electricity board,Bills,FALSE,Normal
TXN_00018,AUDIBLE AUDIO 8210,530.62,Subscriptions,Net Banking,Delhi,09-07-2024 13:58,audible audio ,Subscriptions,FALSE,Normal
TXN_00019,AUDIBLE AUDIO 1678,184.24,Subscriptions,Debit Card,Jaipur,09-10-2024 15:49,audible audio ,Subscriptions,FALSE,Normal
TXN_00020,BOOKMYSHOW 6613,1480.14,Entertainment,Net Banking,Bangalore,20-07-2024 07:48,bookmyshow ,Entertainment,FALSE,Normal
TXN_00021,SPOTIFY SUB 2351,450.45,Subscriptions,Credit Card,Lucknow,26-02-2024 14:08,spotify sub ,Subscriptions,FALSE,Normal
TXN_00022,ADOBE CLOUD 6274,177.68,Subscriptions,Net Banking,Jaipur,01-02-2024 22:16,adobe cloud ,Subscriptions,FALSE,Normal
TXN_00023,BANK FEE,2964.3,Financial,Wallet,Bangalore,16-01-2024 17:42,bank fee,Financial,FALSE,Normal
TXN_00024,ONLINE COURSE 1125,4447.76,Education,Net Banking,Kolkata,15-05-2024 12:36,online course ,Education,FALSE,Normal
TXN_00025,PETROL PUMP 12,557.06,Transportation,Wallet,Bangalore,26-02-2024 08:47,petrol pump ,Transport,FALSE,Normal
TXN_00026,UDEMY COURSE 5080,3789.2,Education,UPI,Bangalore,20-09-2024 21:24,udemy course ,Education,FALSE,Normal
TXN_00027,APOLLO PHARMACY 9692,1953.74,Healthcare,UPI,Bangalore,23-01-2024 14:06,apollo pharmacy ,Healthcare,FALSE,Normal
TXN_00028,PETROL PUMP 12 2966,545.49,Transportation,Debit Card,Lucknow,07-10-2024 07:24,petrol pump  ,Transport,FALSE,Normal
TXN_00029,METRO CARD REF,412.46,Transportation,UPI,Mumbai,23-11-2024 16:25,metro card ref,Transport,FALSE,Normal
TXN_00030,ADOBE CLOUD XYZ169,482.35,Subscriptions,Wallet,Hyderabad,13-06-2024 15:48,adobe cloud xyz,Subscriptions,FALSE,Normal
TXN_00031,GYM MEMBERSHIP 8166,2315.1,Healthcare,Net Banking,Ahmedabad,28-12-2024 08:25,gym membership ,Healthcare,FALSE,Normal
TXN_00032,SPOTIFY SUB,152.81,Subscriptions,Debit Card,Pune,02-10-2024 22:39,spotify sub,Subscriptions,FALSE,Normal
TXN_00033,METRO CARD REF 2136,674.29,Transportation,UPI,Lucknow,28-11-2024 10:05,metro card ref ,Transport,FALSE,Normal
TXN_00034,ICLOUD BACKUP 1991,241.19,Subscriptions,Credit Card,Mumbai,27-03-2024 17:03,icloud backup ,Subscriptions,FALSE,Normal
TXN_00035,UNIQLO STORE 8343,751.26,Personal Care,Net Banking,Pune,02-10-2024 10:06,uniqlo store ,Shopping,FALSE,Normal
TXN_00036,ADOBE CLOUD 9483,236.53,Subscriptions,Net Banking,Mumbai,27-10-2024 22:34,adobe cloud ,Subscriptions,FALSE,Normal
TXN_00037,AUDIBLE AUDIO,402.47,Subscriptions,Unknown,Hyderabad,11-09-2024 23:02,audible audio,Subscriptions,FALSE,Normal
TXN_00038,UDEMY COURSE,2354.87,Education,Wallet,Kolkata,24-01-2024 22:08,udemy course,Education,FALSE,Normal
TXN_00039,AUDIBLE AUDIO 8164,494.72,Subscriptions,Wallet,Delhi,02-05-2024 13:42,audible audio ,Subscriptions,FALSE,Normal
TXN_00040,JIO RECHARGE 8983,665.44,Utilities,Credit Card,Jaipur,03-12-2024 22:02,jio recharge ,Bills,FALSE,Normal
TXN_00041,OLA CAB 5421 5167,32.23,Transportation,UPI,Jaipur,17-03-2024 13:14,ola cab  ,Transport,FALSE,Normal
TXN_00042,NETMEDS APP 1614,703.91,Healthcare,UPI,Lucknow,17-05-2024 09:24,netmeds app ,Healthcare,FALSE,Normal
TXN_00043,KFC #123,395.27,Food & Beverage,Net Banking,Bangalore,06-06-2024 22:22,kfc ,Food & Beverage,FALSE,Normal
TXN_00044,GAMING ARCADE 6753,808.46,Entertainment,Unknown,Bangalore,03-12-2024 10:24,gaming arcade ,Entertainment,FALSE,Normal
TXN_00045,SPA TREATMENT 3572,1659.15,Personal Care,UPI,Kolkata,30-01-2024 22:31,spa treatment ,Healthcare,FALSE,Normal
TXN_00046,OLA CAB 5421 6049,223.64,Transportation,Net Banking,Hyderabad,04-05-2024 22:23,ola cab  ,Transport,FALSE,Normal
TXN_00047,SPOTIFY SUB 8091,304.28,Subscriptions,UPI,Chennai,12-10-2024 19:06,spotify sub ,Subscriptions,FALSE,Normal
TXN_00048,UDEMY COURSE,8259.22,Education,Net Banking,Pune,08-06-2024 22:06,udemy course,Education,FALSE,Normal
TXN_00049,JIO RECHARGE 9545,1077.51,Utilities,Credit Card,Chennai,03-03-2024 16:14,jio recharge ,Bills,FALSE,Normal
TXN_00050,PRIME VIDEO,1373.31,Entertainment,Unknown,Chennai,16-08-2024 14:39,prime video,Entertainment,FALSE,Normal
TXN_00051,NYKAA BEAUTY 2488,418.28,Shopping,UPI,Ahmedabad,04-12-2024 13:47,nykaa beauty ,Shopping,FALSE,Normal
TXN_00052,WATER DEPT 2141,1691.22,Utilities,Unknown,Bangalore,23-05-2024 10:35,water dept ,Bills,FALSE,Normal
TXN_00053,GAMING ARCADE 7909 XYZ184,612.53,Entertainment,UPI,Pune,24-01-2024 23:19,gaming arcade  xyz,Entertainment,FALSE,Normal
TXN_00054,SPA TREATMENT 8292,1656.18,Personal Care,Net Banking,Hyderabad,03-02-2024 08:22,spa treatment ,Healthcare,FALSE,Normal
TXN_00055,GAMING ARCADE 1261,9929.91,Entertainment,Debit Card,Kolkata,28-08-2024 11:45,gaming arcade ,Entertainment,TRUE,Anomalous
TXN_00056,SWIGGY DELIVERY,82.13,Food & Beverage,Unknown,Pune,15-03-2024 23:50,swiggy delivery,Food & Beverage,FALSE,Normal
TXN_00057,INVESTMENT APP 2197,974.49,Financial,Net Banking,Hyderabad,27-03-2024 07:08,investment app ,Financial,FALSE,Normal
TXN_00058,SUBWAY MRT STN,268.54,Food & Beverage,Credit Card,Hyderabad,17-06-2024 23:17,subway mrt stn,Food & Beverage,FALSE,Normal
TXN_00059,KFC #123 4828,2475.45,Food & Beverage,Debit Card,Chennai,29-09-2024 12:12,kfc  ,Food & Beverage,FALSE,Normal
TXN_00060,JIO RECHARGE 6925,806.07,Utilities,UPI,Jaipur,15-12-2024 21:16,jio recharge ,Bills,FALSE,Normal
TXN_00061,RAPIDO BIKE 5705,168.44,Transportation,Net Banking,Pune,23-11-2024 19:21,rapido bike ,Transport,FALSE,Normal
TXN_00062,SUBWAY MRT STN,80.54,Food & Beverage,Credit Card,Ahmedabad,04-11-2024 16:33,subway mrt stn,Food & Beverage,FALSE,Normal
TXN_00063,HOTSTAR SUB,706.99,Entertainment,Net Banking,Ahmedabad,11-02-2024 07:03,hotstar sub,Subscriptions,FALSE,Normal
TXN_00064,BOOKMYSHOW,721.78,Entertainment,Credit Card,Ahmedabad,15-01-2024 19:37,bookmyshow,Entertainment,FALSE,Normal
TXN_00065,ZOMATO APP 6260,71.41,Food & Beverage,Debit Card,Ahmedabad,08-09-2024 10:20,zomato app ,Food & Beverage,FALSE,Normal
TXN_00066,INVESTMENT APP,2700.83,Financial,Net Banking,Mumbai,03-04-2024 10:52,investment app,Financial,FALSE,Normal
TXN_00067,ONLINE COURSE,4276.92,Education,Wallet,Hyderabad,06-10-2024 13:45,online course,Education,FALSE,Normal
TXN_00068,NETFLIX SUBS 3746,1192.75,Entertainment,Net Banking,Hyderabad,27-01-2024 22:44,netflix subs ,Subscriptions,FALSE,Normal
TXN_00069,BSNL BILL 6413,1558.95,Utilities,Unknown,Pune,02-09-2024 15:34,bsnl bill ,Bills,FALSE,Normal
TXN_00070,BANK FEE 1698,1484.42,Financial,UPI,Ahmedabad,10-01-2024 07:05,bank fee ,Financial,FALSE,Normal
TXN_00071,UDEMY COURSE,74503.01,Education,Unknown,Hyderabad,18-12-2024 16:01,udemy course,Education,TRUE,Anomalous
TXN_00072,ICLOUD BACKUP 2770,354,Subscriptions,Credit Card,Kolkata,09-02-2024 17:36,icloud backup ,Subscriptions,FALSE,Normal
TXN_00073,APOLLO HOSP 5314,2399.98,Healthcare,Debit Card,Lucknow,23-06-2024 23:14,apollo hosp ,Healthcare,FALSE,Normal
TXN_00074,AUTO RICKSHAW 3656,565.67,Transportation,Net Banking,Kolkata,14-05-2024 15:08,auto rickshaw ,Transport,FALSE,Normal
TXN_00075,LAKME SALON,1280.85,Personal Care,Wallet,Pune,13-12-2024 21:16,lakme salon,Shopping,FALSE,Normal
TXN_00076,TUITION FEES 2094,3550.91,Education,Wallet,Hyderabad,23-05-2024 17:56,tuition fees ,Education,FALSE,Normal
TXN_00077,RAPIDO BIKE,528.36,Transportation,Wallet,Jaipur,16-10-2024 11:28,rapido bike,Transport,FALSE,Normal
TXN_00078,TUITION FEES 9556,9114.61,Uncategorized,UPI,Lucknow,19-01-2024 08:59,tuition fees ,Education,FALSE,Normal
TXN_00079,MEDPLUS CHEMIST 2975 XYZ702,1819.4,Healthcare,Wallet,Kolkata,21-05-2024 14:18,medplus chemist  xyz,Healthcare,FALSE,Normal
TXN_00080,DR SHARMA CLINIC,572.56,Healthcare,Net Banking,Pune,23-06-2024 23:36,dr sharma clinic,Healthcare,FALSE,Normal
TXN_00081,ZOMATO APP 9328,190.06,Food & Beverage,Net Banking,Pune,06-03-2024 07:12,zomato app ,Food & Beverage,FALSE,Normal
TXN_00082,INTERNET PROVIDER,1769.1,Utilities,Wallet,Jaipur,11-01-2024 13:03,internet provider,Bills,FALSE,Normal
TXN_00083,ELECTRICITY BOARD 6357,887.11,Utilities,Net Banking,Jaipur,10-08-2024 13:22,electricity board ,Bills,FALSE,Normal
TXN_00084,INVESTMENT APP 7971,4759.99,Financial,Net Banking,Hyderabad,09-09-2024 09:54,investment app ,Financial,FALSE,Normal
TXN_00085,UNIQLO STORE,597.09,Uncategorized,Credit Card,Pune,10-06-2024 21:02,uniqlo store,Shopping,FALSE,Normal
TXN_00086,BOOKMYSHOW,784.41,Entertainment,Wallet,Lucknow,16-08-2024 19:25,bookmyshow,Entertainment,FALSE,Normal
TXN_00087,MEDPLUS CHEMIST 2507,25173.9,Healthcare,UPI,Ahmedabad,16-03-2024 20:24,medplus chemist ,Healthcare,TRUE,Anomalous
TXN_00088,PRIME VIDEO 5836,695.45,Entertainment,UPI,Delhi,22-02-2024 12:16,prime video ,Subscriptions,FALSE,Normal
TXN_00089,SUBWAY MRT STN,225,Food & Beverage,Debit Card,Mumbai,05-07-2024 20:12,subway mrt stn,Food & Beverage,FALSE,Normal
TXN_00090,STARBKS 9328,437.07,Food & Beverage,UPI,Delhi,09-10-2024 17:30,starbks ,Food & Beverage,FALSE,Normal
TXN_00091,UBER TRIP 3155,105.97,Transportation,Net Banking,Bangalore,08-10-2024 19:03,uber trip ,Transport,FALSE,Normal
TXN_00092,NETMEDS APP 4420,816.44,Healthcare,Credit Card,Chennai,18-07-2024 12:12,netmeds app ,Healthcare,FALSE,Normal
TXN_00093,RAPIDO BIKE 8519,478.83,Transportation,Debit Card,Ahmedabad,25-09-2024 20:56,rapido bike ,Transport,FALSE,Normal
TXN_00094,ADOBE CLOUD 4412,114.87,Subscriptions,Credit Card,Delhi,01-10-2024 18:54,adobe cloud ,Subscriptions,FALSE,Normal
TXN_00095,UDEMY COURSE,42639.17,Education,Credit Card,Jaipur,21-02-2024 16:04,udemy course,Education,FALSE,Normal
TXN_00096,PETROL PUMP 12 3014,35.41,Transportation,UPI,Lucknow,08-02-2024 09:13,petrol pump  ,Transport,FALSE,Normal
TXN_00097,SALON CUTS 8283 XYZ711,8986.5,Personal Care,Wallet,Hyderabad,08-01-2024 14:39,salon cuts  xyz,Shopping,FALSE,Normal
TXN_00098,INVESTMENT APP 3513,2895.44,Financial,Wallet,Kolkata,26-05-2024 09:47,investment app ,Financial,FALSE,Normal
TXN_00099,KFC #123 1810,695.13,Food & Beverage,Credit Card,Bangalore,27-12-2024 19:20,kfc  ,Food & Beverage,FALSE,Normal
TXN_00100,SKILL SHARE 1142,5229.11,Education,Wallet,Lucknow,18-05-2024 07:47,skill share ,Education,FALSE,Normal
TXN_00101,COURSERA FEE 8624,2160.32,Education,UPI,Kolkata,28-08-2024 23:26,coursera fee ,Education,FALSE,Normal
TXN_00102,BANK FEE,2447.12,Financial,Debit Card,Mumbai,21-05-2024 17:13,bank fee,Financial,FALSE,Normal
TXN_00103,INSURANCE PREMIUM 9723,1268.77,Financial,Credit Card,Ahmedabad,23-02-2024 07:18,insurance premium ,Bills,FALSE,Normal
TXN_00104,AIRTEL POSTPAID 4739,18843.94,Utilities,Credit Card,Lucknow,14-12-2024 16:47,airtel postpaid ,Bills,TRUE,Anomalous
TXN_00105,INSURANCE PREMIUM,3546.89,Financial,Wallet,Pune,26-04-2024 16:19,insurance premium,Bills,FALSE,Normal
TXN_00106,INVESTMENT APP 4449,2174.11,Financial,Debit Card,Pune,24-06-2024 17:54,investment app ,Financial,FALSE,Normal
TXN_00107,DECATHLON SPORTS 3802,1806.86,Personal Care,Debit Card,Kolkata,12-11-2024 08:48,decathlon sports ,Shopping,FALSE,Normal
TXN_00108,YOUTUBE PREMIUM 7151,1413.56,Entertainment,Net Banking,Delhi,18-12-2024 09:57,youtube premium ,Subscriptions,FALSE,Normal
TXN_00109,BOOK STORE 23 3676,8239.91,Education,Credit Card,Pune,01-12-2024 20:43,book store  ,Shopping,FALSE,Normal
TXN_00110,KFC #123 4181,204.34,Food & Beverage,Wallet,Ahmedabad,07-04-2024 07:52,kfc  ,Food & Beverage,FALSE,Normal
TXN_00111,COURSERA FEE 2905,2949.18,Education,Net Banking,Mumbai,05-02-2024 10:21,coursera fee ,Education,FALSE,Normal
TXN_00112,MEDPLUS CHEMIST 3189,1017.29,Healthcare,Wallet,Lucknow,24-12-2024 22:41,medplus chemist ,Healthcare,FALSE,Normal
TXN_00113,DR SHARMA CLINIC 9958,1078.39,Healthcare,Net Banking,Lucknow,04-10-2024 22:09,dr sharma clinic ,Healthcare,FALSE,Normal
TXN_00114,ADOBE CLOUD,244.32,Subscriptions,Net Banking,Mumbai,25-11-2024 18:21,adobe cloud,Subscriptions,FALSE,Normal
TXN_00115,SKILL SHARE 2780,8017.67,Education,Net Banking,Chennai,07-04-2024 09:21,skill share ,Education,FALSE,Normal
TXN_00116,KFC #123 1413,1974.87,Food & Beverage,UPI,Mumbai,02-04-2024 21:19,kfc  ,Food & Beverage,FALSE,Normal
TXN_00117,UBER TRIP 9781,374.03,Transportation,Debit Card,Pune,26-04-2024 11:58,uber trip ,Transport,FALSE,Normal
TXN_00118,YOUTUBE PREMIUM 5257,887.27,Entertainment,Debit Card,Chennai,29-05-2024 10:08,youtube premium ,Subscriptions,FALSE,Normal
TXN_00119,SPOTIFY SUB 6708,455.69,Subscriptions,Wallet,Mumbai,04-03-2024 22:26,spotify sub ,Subscriptions,FALSE,Normal
TXN_00120,LAKME SALON 5107,721.39,Personal Care,UPI,Hyderabad,03-09-2024 11:42,lakme salon ,Shopping,FALSE,Normal
TXN_00121,OLA CAB 5421 9554,2065.68,Transportation,Wallet,Hyderabad,22-06-2024 14:28,ola cab  ,Transport,FALSE,Normal
TXN_00122,SPA TREATMENT,874.54,Personal Care,Net Banking,Lucknow,15-12-2024 22:00,spa treatment,Healthcare,FALSE,Normal
TXN_00123,INVESTMENT APP 2606,1902.77,Financial,Wallet,Jaipur,12-03-2024 22:43,investment app ,Financial,FALSE,Normal
TXN_00124,ONLINE COURSE 3770,5934.14,Education,Net Banking,Kolkata,10-12-2024 15:37,online course ,Education,FALSE,Normal
TXN_00125,UDEMY COURSE,2575.06,Education,Net Banking,Lucknow,29-07-2024 12:13,udemy course,Education,FALSE,Normal
TXN_00126,PRIME VIDEO,964.96,Entertainment,Wallet,Hyderabad,08-02-2024 23:15,prime video,Entertainment,FALSE,Normal
TXN_00127,NETFLIX SUBS 4232,1477.72,Entertainment,Wallet,Bangalore,06-08-2024 21:50,netflix subs ,Subscriptions,FALSE,Normal
TXN_00128,DOMINOS PZ,221.24,Food & Beverage,Net Banking,Pune,14-07-2024 19:30,dominos pz,Food & Beverage,FALSE,Normal
TXN_00129,DECATHLON SPORTS 4238,858.56,Personal Care,Net Banking,Jaipur,11-02-2024 09:47,decathlon sports ,Shopping,FALSE,Normal
TXN_00130,UNIQLO STORE 5517,494.92,Personal Care,UPI,Bangalore,21-08-2024 17:04,uniqlo store ,Shopping,FALSE,Normal
TXN_00131,MYNTRA APP 3414,888.73,Shopping,UPI,Bangalore,28-01-2024 10:52,myntra app ,Shopping,FALSE,Normal
TXN_00132,ICLOUD BACKUP 2549,175.9,Subscriptions,UPI,Pune,15-02-2024 10:41,icloud backup ,Subscriptions,FALSE,Normal
TXN_00133,SPA TREATMENT,12486.82,Personal Care,Net Banking,Kolkata,30-08-2024 16:22,spa treatment,Healthcare,FALSE,Normal
TXN_00134,APOLLO PHARMACY,2381.17,Healthcare,Net Banking,Chennai,24-09-2024 09:38,apollo pharmacy,Healthcare,FALSE,Normal
TXN_00135,METRO CARD REF 3306 XYZ306,302.23,Transportation,Debit Card,Pune,04-05-2024 16:46,metro card ref  xyz,Transport,FALSE,Normal
TXN_00136,INSURANCE PREMIUM 3317,2035.93,Financial,Net Banking,Chennai,11-01-2024 16:43,insurance premium ,Bills,FALSE,Normal
TXN_00137,Unknown Transaction,144.61,Financial,Net Banking,Pune,07-07-2024 21:06,unknown transaction,Financial,FALSE,Normal
TXN_00138,YOUTUBE PREMIUM,964.19,Entertainment,Debit Card,Hyderabad,13-11-2024 23:32,youtube premium,Subscriptions,FALSE,Normal
TXN_00139,UDEMY COURSE 9105,89658.65,Education,Debit Card,Kolkata,11-06-2024 19:08,udemy course ,Education,TRUE,Anomalous
TXN_00140,SALON CUTS 8504,401.82,Personal Care,Credit Card,Chennai,13-02-2024 16:54,salon cuts ,Shopping,FALSE,Normal
TXN_00141,ELECTRICITY BOARD 7949,16177.52,Utilities,Wallet,Delhi,21-01-2024 12:47,electricity board ,Bills,TRUE,Anomalous
TXN_00142,RELIANCE MKT 4792,33163.95,Shopping,UPI,Delhi,26-02-2024 18:12,reliance mkt ,Shopping,TRUE,Anomalous
TXN_00143,SALON CUTS 4983,206.34,Personal Care,Net Banking,Lucknow,11-01-2024 15:03,salon cuts ,Shopping,FALSE,Normal
TXN_00144,SPA TREATMENT,466.19,Personal Care,UPI,Pune,14-06-2024 23:58,spa treatment,Healthcare,FALSE,Normal
TXN_00145,MUTUAL FUND,3723.1,Financial,Net Banking,Ahmedabad,19-07-2024 21:35,mutual fund,Financial,FALSE,Normal
TXN_00146,AMZ MKTP,3840.25,Shopping,Wallet,Bangalore,17-05-2024 18:25,amz mktp,Shopping,FALSE,Normal
TXN_00147,PRIME VIDEO 3117,1064.85,Entertainment,Credit Card,Lucknow,17-09-2024 07:58,prime video ,Subscriptions,FALSE,Normal
TXN_00148,MUTUAL FUND 3623,218.89,Financial,Net Banking,Pune,18-10-2024 17:31,mutual fund ,Financial,FALSE,Normal
TXN_00149,RAPIDO BIKE 8728,555.57,Transportation,Credit Card,Pune,22-10-2024 17:52,rapido bike ,Transport,FALSE,Normal
TXN_00150,DOMINOS PZ 3073,167.65,Food & Beverage,UPI,Pune,10-06-2024 16:14,dominos pz ,Food & Beverage,FALSE,Normal
TXN_00151,APOLLO HOSP 5275,2889.69,Healthcare,Credit Card,Delhi,28-10-2024 21:14,apollo hosp ,Healthcare,FALSE,Normal
TXN_00152,GYM MEMBERSHIP 1480,2089.14,Healthcare,Credit Card,Chennai,01-04-2024 21:36,gym membership ,Healthcare,FALSE,Normal
TXN_00153,BANK FEE 3353,3830.55,Financial,UPI,Lucknow,22-02-2024 20:59,bank fee ,Financial,FALSE,Normal
TXN_00154,BANK FEE 1450,3428.83,Financial,Net Banking,Ahmedabad,30-10-2024 14:22,bank fee ,Financial,FALSE,Normal
TXN_00155,McDONALDS 4521,482.27,Food & Beverage,Wallet,Hyderabad,01-08-2024 10:00,mcdonalds ,Food & Beverage,FALSE,Normal
TXN_00156,INVESTMENT APP XYZ373,1396.88,Financial,Unknown,Pune,08-03-2024 16:21,investment app xyz,Financial,FALSE,Normal
TXN_00157,MUTUAL FUND,29649.87,Financial,Wallet,Chennai,13-09-2024 17:28,mutual fund,Financial,FALSE,Normal
TXN_00158,SWIGGY DELIVERY 8908,2702.56,Food & Beverage,Debit Card,Lucknow,12-08-2024 14:28,swiggy delivery ,Food & Beverage,FALSE,Normal
TXN_00159,LAKME SALON,5968.89,Personal Care,Net Banking,Bangalore,11-10-2024 12:18,lakme salon,Shopping,FALSE,Normal
TXN_00160,SPA TREATMENT,1176.56,Personal Care,Credit Card,Lucknow,24-03-2024 12:15,spa treatment,Healthcare,FALSE,Normal
TXN_00161,AJIO FASHION 1825,1650.6,Shopping,Debit Card,Hyderabad,21-04-2024 20:14,ajio fashion ,Shopping,FALSE,Normal
TXN_00162,HOTSTAR SUB,987.9,Entertainment,Wallet,Lucknow,05-05-2024 16:21,hotstar sub,Subscriptions,FALSE,Normal
TXN_00163,SPA TREATMENT 1884,1063.87,Personal Care,Debit Card,Jaipur,20-04-2024 17:47,spa treatment ,Healthcare,FALSE,Normal
TXN_00164,WATER DEPT 1399,1058.41,Utilities,Wallet,Lucknow,15-12-2024 09:46,water dept ,Bills,FALSE,Normal
TXN_00165,AJIO FASHION XYZ979,2575.21,Shopping,Net Banking,Mumbai,26-04-2024 23:35,ajio fashion xyz,Shopping,FALSE,Normal
TXN_00166,APOLLO PHARMACY 8174,1055.03,Healthcare,Wallet,Pune,06-02-2024 20:21,apollo pharmacy ,Healthcare,FALSE,Normal
TXN_00167,FLIPKRT.COM 9389,4612.61,Shopping,Wallet,Chennai,23-12-2024 14:39,flipkrtcom ,Shopping,FALSE,Normal
TXN_00168,RAPIDO BIKE 3048,571.01,Transportation,Credit Card,Chennai,25-01-2024 15:54,rapido bike ,Transport,FALSE,Normal
TXN_00169,APOLLO PHARMACY,20288.07,Healthcare,Debit Card,Hyderabad,16-09-2024 18:16,apollo pharmacy,Healthcare,FALSE,Normal
TXN_00170,MEDPLUS CHEMIST 4829,1283.21,Healthcare,UPI,Lucknow,24-11-2024 07:22,medplus chemist ,Healthcare,FALSE,Normal
TXN_00171,WATER DEPT 8749,1081.43,Utilities,Wallet,Pune,20-05-2024 23:37,water dept ,Bills,FALSE,Normal
TXN_00172,KFC #123 9939,374.56,Food & Beverage,Wallet,Bangalore,29-02-2024 09:48,kfc  ,Food & Beverage,FALSE,Normal
TXN_00173,ADOBE CLOUD,267.08,Subscriptions,Debit Card,Hyderabad,02-01-2024 15:30,adobe cloud,Subscriptions,FALSE,Normal
TXN_00174,BOOK STORE 23 9972,4532.4,Education,Debit Card,Lucknow,19-06-2024 08:25,book store  ,Shopping,FALSE,Normal
TXN_00175,ZOMATO APP 6496,195.31,Food & Beverage,Debit Card,Kolkata,09-10-2024 14:21,zomato app ,Food & Beverage,FALSE,Normal
TXN_00176,SPOTIFY SUB 8084,214.47,Subscriptions,UPI,Bangalore,12-04-2024 21:13,spotify sub ,Subscriptions,FALSE,Normal
TXN_00177,LAKME SALON 7707,955.24,Personal Care,Wallet,Ahmedabad,02-04-2024 22:42,lakme salon ,Shopping,FALSE,Normal
TXN_00178,METRO CARD REF 7159,688.82,Transportation,Wallet,Chennai,18-03-2024 23:44,metro card ref ,Transport,FALSE,Normal
TXN_00179,SWIGGY DELIVERY 2896,337.35,Food & Beverage,Net Banking,Jaipur,02-01-2024 15:34,swiggy delivery ,Food & Beverage,FALSE,Normal
TXN_00180,AMZ MKTP 8473,2496.91,Shopping,UPI,Pune,27-03-2024 20:37,amz mktp ,Shopping,FALSE,Normal
TXN_00181,METRO CARD REF 8578,622.5,Transportation,Credit Card,Jaipur,07-04-2024 19:03,metro card ref ,Transport,FALSE,Normal
TXN_00182,INTERNET PROVIDER 1693,591.1,Utilities,Debit Card,Kolkata,29-02-2024 20:43,internet provider ,Bills,FALSE,Normal
TXN_00183,BOOKMYSHOW 1134,197.17,Uncategorized,Credit Card,Pune,13-01-2024 17:41,bookmyshow ,Entertainment,FALSE,Normal
TXN_00184,UNIQLO STORE 3174,1284.98,Personal Care,UPI,Ahmedabad,26-06-2024 14:04,uniqlo store ,Shopping,FALSE,Normal
TXN_00185,SALON CUTS 4735,2698.23,Personal Care,Wallet,Kolkata,12-07-2024 08:37,salon cuts ,Shopping,FALSE,Normal
TXN_00186,DOMINOS PZ 6876,117.67,Food & Beverage,Net Banking,Jaipur,18-08-2024 08:48,dominos pz ,Food & Beverage,FALSE,Normal
TXN_00187,LAKME SALON 4661,1463.3,Personal Care,Credit Card,Lucknow,22-01-2024 07:16,lakme salon ,Shopping,FALSE,Normal
TXN_00188,INVESTMENT APP 6369,183.47,Financial,Debit Card,Hyderabad,11-03-2024 11:16,investment app ,Financial,FALSE,Normal
TXN_00189,SPA TREATMENT,1748.77,Personal Care,Wallet,Chennai,19-06-2024 12:28,spa treatment,Healthcare,FALSE,Normal
